Frequency,Gain,Phase
(Hz),(db),(angulo)
100,-24.52,85.61
104,-24.17,85.49
108,-23.84,85.32
113,-23.44,85.08
117,-23.15,84.97
122,-22.78,84.79
127,-22.44,84.59
132,-22.11,84.45
138,-21.73,84.18
143,-21.42,84.01
149,-21.07,83.78
155,-20.73,83.61
162,-20.36,83.36
168,-20.05,83.07
175,-19.71,82.85
182,-19.38,82.66
190,-19,82.39
197,-18.71,82.09
206,-18.32,81.79
214,-18,81.51
223,-17.65,81.16
232,-17.3,80.87
241,-16.98,80.58
251,-16.64,80.25
261,-16.3,79.89
272,-15.96,79.49
283,-15.63,79.1
295,-15.29,78.74
307,-14.96,78.34
319,-14.63,77.89
332,-14.31,77.48
346,-13.97,77.01
360,-13.65,76.5
375,-13.31,76
390,-12.98,75.59
406,-12.66,74.99
423,-12.33,74.45
440,-12.01,73.87
458,-11.69,73.35
476,-11.39,72.79
496,-11.05,72.13
516,-10.76,71.52
537,-10.45,70.83
559,-10.12,70.18
582,-9.82,69.42
606,-9.52,68.76
631,-9.2,67.97
656,-8.91,67.25
683,-8.61,66.47
711,-8.31,65.61
740,-8.03,64.78
770,-7.75,63.93
802,-7.46,63.03
835,-7.19,62.11
869,-6.91,61.18
904,-6.65,60.22
941,-6.4,59.29
979,-6.13,58.31
1019,-5.86,57.29
1061,-5.62,56.25
1104,-5.38,55.16
1150,-5.13,54.12
1196,-4.9,53.04
1245,-4.68,51.91
1296,-4.46,50.79
1349,-4.26,49.67
1404,-4.04,48.51
1462,-3.84,47.37
1521,-3.66,46.23
1583,-3.47,45.02
1648,-3.29,43.89
1715,-3.13,42.72
1786,-2.95,41.56
1858,-2.79,40.42
1934,-2.64,39.21
2013,-2.49,38.06
2096,-2.34,36.89
2181,-2.22,35.72
2270,-2.09,34.57
2363,-1.97,33.43
2460,-1.86,32.26
2560,-1.74,31.21
2665,-1.64,30.07
2773,-1.55,28.98
2887,-1.43,27.83
3005,-1.35,26.8
3127,-1.26,25.72
3255,-1.19,24.68
3388,-1.12,23.65
3526,-1.05,22.62
3670,-0.98,21.64
3820,-0.93,20.62
3976,-0.88,19.69
4139,-0.81,18.72
4308,-0.76,17.75
4484,-0.71,16.83
4667,-0.68,15.92
4857,-0.65,15.02
5056,-0.6,14.15
5262,-0.57,13.24
5477,-0.54,12.42
5701,-0.51,11.58
5934,-0.5,10.75
6176,-0.45,9.92
6428,-0.43,9.09
6691,-0.42,8.34
6964,-0.4,7.5
7249,-0.38,6.71
7545,-0.38,5.96
7853,-0.36,5.15
8174,-0.35,4.41
8508,-0.34,3.67
8855,-0.33,2.87
9217,-0.33,2.16
9593,-0.33,1.37
9985,-0.32,0.62
10393,-0.33,-0.14
10817,-0.33,-0.91
11259,-0.32,-1.67
11719,-0.33,-2.41
12198,-0.34,-3.15
12696,-0.34,-3.96
13214,-0.36,-4.7
13754,-0.35,-5.46
14316,-0.38,-6.27
14900,-0.39,-7.09
15509,-0.4,-7.84
16143,-0.41,-8.7
16802,-0.45,-9.5
17488,-0.47,-10.31
18202,-0.48,-11.16
18946,-0.52,-12.02
19720,-0.55,-12.88
20525,-0.58,-13.8
21363,-0.61,-14.65
22236,-0.65,-15.59
23144,-0.7,-16.5
24090,-0.75,-17.46
25073,-0.79,-18.44
26098,-0.84,-19.4
27163,-0.9,-20.38
28273,-0.95,-21.36
29428,-1.01,-22.43
30630,-1.08,-23.43
31881,-1.16,-24.51
33183,-1.24,-25.54
34538,-1.33,-26.64
35949,-1.41,-27.71
37417,-1.5,-28.86
38945,-1.58,-30.01
40536,-1.7,-31.15
42192,-1.81,-32.26
43915,-1.92,-33.44
45709,-2.05,-34.63
47576,-2.18,-35.78
49519,-2.31,-36.98
51541,-2.45,-38.14
53646,-2.59,-39.33
55837,-2.75,-40.53
58118,-2.94,-41.8
60492,-3.09,-42.92
62963,-3.27,-44.13
65534,-3.45,-45.34
68211,-3.63,-46.52
70997,-3.83,-47.67
73897,-4.04,-48.83
76915,-4.23,-50.01
80056,-4.45,-51.14
83326,-4.66,-52.26
86730,-4.9,-53.38
90272,-5.13,-54.47
93959,-5.36,-55.58
97797,-5.62,-56.62
101791,-5.85,-57.66
105949,-6.12,-58.68
110276,-6.38,-59.68
114780,-6.63,-60.68
119468,-6.9,-61.66
124348,-7.18,-62.55
129427,-7.45,-63.47
134713,-7.72,-64.37
140215,-8.01,-65.26
145942,-8.31,-66.08
151903,-8.61,-66.89
158107,-8.9,-67.69
164565,-9.19,-68.44
171286,-9.49,-69.19
178282,-9.8,-69.98
185564,-10.09,-70.67
193143,-10.4,-71.31
201032,-10.72,-71.94
209243,-11.03,-72.61
217789,-11.34,-73.24
226685,-11.66,-73.82
235943,-11.97,-74.41
245580,-12.3,-74.96
255611,-12.62,-75.52
266051,-12.95,-75.99
276917,-13.28,-76.51
288228,-13.6,-77.02
300000,-13.93,-77.48
