#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,10.0,1.0000,-24.52,85.61
2,10.4,1.0000,-24.17,85.49
3,10.8,1.0000,-23.84,85.32
4,11.3,1.0000,-23.44,85.08
5,11.7,1.0000,-23.15,84.97
6,12.2,1.0000,-22.78,84.79
7,12.7,1.0000,-22.44,84.59
8,13.2,1.0000,-22.11,84.45
9,13.8,1.0000,-21.73,84.18
10,14.3,1.0000,-21.42,84.01
11,14.9,1.0000,-21.07,83.78
12,15.5,1.0000,-20.73,83.61
13,16.2,1.0000,-20.36,83.36
14,16.8,1.0000,-20.05,83.07
15,17.5,1.0000,-19.71,82.85
16,18.2,1.0000,-19.38,82.66
17,19.0,1.0000,-19.00,82.39
18,19.7,1.0000,-18.71,82.09
19,20.6,1.0000,-18.32,81.79
20,21.4,1.0000,-18.00,81.51
21,22.3,1.0000,-17.65,81.16
22,23.2,1.0000,-17.30,80.87
23,24.1,1.0000,-16.98,80.58
24,25.1,1.0000,-16.64,80.25
25,26.1,1.0000,-16.30,79.89
26,27.2,1.0000,-15.96,79.49
27,28.3,1.0000,-15.63,79.10
28,29.5,1.0000,-15.29,78.74
29,30.7,1.0000,-14.96,78.34
30,31.9,1.0000,-14.63,77.89
31,33.2,1.0000,-14.31,77.48
32,34.6,1.0000,-13.97,77.01
33,36.0,1.0000,-13.65,76.50
34,37.5,1.0000,-13.31,76.00
35,39.0,1.0000,-12.98,75.59
36,40.6,1.0000,-12.66,74.99
37,42.3,1.0000,-12.33,74.45
38,44.0,1.0000,-12.01,73.87
39,45.8,1.0000,-11.69,73.35
40,47.6,1.0000,-11.39,72.79
41,49.6,1.0000,-11.05,72.13
42,51.6,1.0000,-10.76,71.52
43,53.7,1.0000,-10.45,70.83
44,55.9,1.0000,-10.12,70.18
45,58.2,1.0000,-9.82,69.42
46,60.6,1.0000,-9.52,68.76
47,63.1,1.0000,-9.20,67.97
48,65.6,1.0000,-8.91,67.25
49,68.3,1.0000,-8.61,66.47
50,71.1,1.0000,-8.31,65.61
51,74.0,1.0000,-8.03,64.78
52,77.0,1.0000,-7.75,63.93
53,80.2,1.0000,-7.46,63.03
54,83.5,1.0000,-7.19,62.11
55,86.9,1.0000,-6.91,61.18
56,90.4,1.0000,-6.65,60.22
57,94.1,1.0000,-6.40,59.29
58,97.9,1.0000,-6.13,58.31
59,101.9,1.0000,-5.86,57.29
60,106.1,1.0000,-5.62,56.25
61,110.4,1.0000,-5.38,55.16
62,115.0,1.0000,-5.13,54.12
63,119.6,1.0000,-4.90,53.04
64,124.5,1.0000,-4.68,51.91
65,129.6,1.0000,-4.46,50.79
66,134.9,1.0000,-4.26,49.67
67,140.4,1.0000,-4.04,48.51
68,146.2,1.0000,-3.84,47.37
69,152.1,1.0000,-3.66,46.23
70,158.3,1.0000,-3.47,45.02
71,164.8,1.0000,-3.29,43.89
72,171.5,1.0000,-3.13,42.72
73,178.6,1.0000,-2.95,41.56
74,185.8,1.0000,-2.79,40.42
75,193.4,1.0000,-2.64,39.21
76,201.3,1.0000,-2.49,38.06
77,209.6,1.0000,-2.34,36.89
78,218.1,1.0000,-2.22,35.72
79,227.0,1.0000,-2.09,34.57
80,236.3,1.0000,-1.97,33.43
81,246.0,1.0000,-1.86,32.26
82,256.0,1.0000,-1.74,31.21
83,266.5,1.0000,-1.64,30.07
84,277.3,1.0000,-1.55,28.98
85,288.7,1.0000,-1.43,27.83
86,300.5,1.0000,-1.35,26.80
87,312.7,1.0000,-1.26,25.72
88,325.5,1.0000,-1.19,24.68
89,338.8,1.0000,-1.12,23.65
90,352.6,1.0000,-1.05,22.62
91,367.0,1.0000,-0.98,21.64
92,382.0,1.0000,-0.93,20.62
93,397.6,1.0000,-0.88,19.69
94,413.9,1.0000,-0.81,18.72
95,430.8,1.0000,-0.76,17.75
96,448.4,1.0000,-0.71,16.83
97,466.7,1.0000,-0.68,15.92
98,485.7,1.0000,-0.65,15.02
99,505.6,1.0000,-0.60,14.15
100,526.2,1.0000,-0.57,13.24
101,547.7,1.0000,-0.54,12.42
102,570.1,1.0000,-0.51,11.58
