Tiempo (s),Canal 1 (V),Canal 2 (V)
0.0000e+00,0.0e+00,0.0e+00
1.0000e-04,4.3e-04,8.7e-04
2.0000e-04,8.7e-04,1.7e-03
3.0000e-04,1.3e-03,2.6e-03
4.0000e-04,1.7e-03,3.5e-03
5.0000e-04,2.2e-03,4.3e-03
6.0000e-04,2.6e-03,5.2e-03
7.0000e-04,3.0e-03,6.1e-03
8.0000e-04,3.5e-03,7.0e-03
9.0000e-04,3.9e-03,7.8e-03
1.0000e-03,4.3e-03,8.7e-03
1.1000e-03,3.9e-03,7.8e-03
1.2000e-03,3.5e-03,7.0e-03
1.3000e-03,3.0e-03,6.1e-03
1.4000e-03,2.6e-03,5.2e-03
1.5000e-03,2.2e-03,4.3e-03
1.6000e-03,1.7e-03,3.5e-03
1.7000e-03,1.3e-03,2.6e-03
1.8000e-03,8.7e-04,1.7e-03
1.9000e-03,4.3e-04,8.7e-04
2.0000e-03,0.0e+00,0.0e+00
2.1000e-03,-4.3e-04,-8.7e-04
2.2000e-03,-8.7e-04,-1.7e-03
2.3000e-03,-1.3e-03,-2.6e-03
2.4000e-03,-1.7e-03,-3.5e-03
2.5000e-03,-2.2e-03,-4.3e-03
2.6000e-03,-2.6e-03,-5.2e-03
2.7000e-03,-3.0e-03,-6.1e-03
2.8000e-03,-3.5e-03,-7.0e-03
2.9000e-03,-3.9e-03,-7.8e-03
3.0000e-03,-4.3e-03,-8.7e-03
3.1000e-03,-3.9e-03,-7.8e-03
3.2000e-03,-3.5e-03,-7.0e-03
3.3000e-03,-3.0e-03,-6.1e-03
3.4000e-03,-2.6e-03,-5.2e-03
3.5000e-03,-2.2e-03,-4.3e-03
3.6000e-03,-1.7e-03,-3.5e-03
3.7000e-03,-1.3e-03,-2.6e-03
3.8000e-03,-8.7e-04,-1.7e-03
3.9000e-03,-4.3e-04,-8.7e-04
4.0000e-03,0.0e+00,0.0e+00
