Freq,v,a
1,2,3
1.00000000000000e+00,2.22066099019579e-11,4.71238898028004e-06
1.00031791152440e+00,2.22207316207409e-11,4.71388710304428e-06
1.00063592411654e+00,2.22348623198654e-11,4.71538570207900e-06
1.00095403780855e+00,2.22490020050423e-11,4.71688477753563e-06
1.00127225263257e+00,2.22631506819860e-11,4.71838432956562e-06
1.00159056862074e+00,2.22773083564146e-11,4.71988435832048e-06
1.00190898580524e+00,2.22914750340498e-11,4.72138486395177e-06
1.00222750421823e+00,2.23056507206169e-11,4.72288584661109e-06
1.00254612389189e+00,2.23198354218450e-11,4.72438730645010e-06
1.00286484485842e+00,2.23340291434667e-11,4.72588924362050e-06
1.00318366715002e+00,2.23482318912183e-11,4.72739165827403e-06
1.00350259079890e+00,2.23624436708397e-11,4.72889455056249e-06
1.00382161583729e+00,2.23766644880745e-11,4.73039792063773e-06
1.00414074229740e+00,2.23908943486699e-11,4.73190176865164e-06
1.00445997021150e+00,2.24051332583768e-11,4.73340609475617e-06
1.00477929961183e+00,2.24193812229499e-11,4.73491089910330e-06
1.00509873053066e+00,2.24336382481472e-11,4.73641618184508e-06
1.00541826300026e+00,2.24479043397306e-11,4.73792194313359e-06
1.00573789705291e+00,2.24621795034658e-11,4.73942818312096e-06
1.00605763272091e+00,2.24764637451218e-11,4.74093490195938e-06
1.00637747003657e+00,2.24907570704716e-11,4.74244209980109e-06
1.00669740903219e+00,2.25050594852917e-11,4.74394977679836e-06
1.00701744974011e+00,2.25193709953623e-11,4.74545793310353e-06
1.00733759219266e+00,2.25336916064673e-11,4.74696656886896e-06
1.00765783642218e+00,2.25480213243943e-11,4.74847568424709e-06
1.00797818246103e+00,2.25623601549344e-11,4.74998527939039e-06
1.00829863034158e+00,2.25767081038828e-11,4.75149535445138e-06
1.00861918009621e+00,2.25910651770378e-11,4.75300590958264e-06
1.00893983175729e+00,2.26054313802020e-11,4.75451694493678e-06
1.00926058535724e+00,2.26198067191811e-11,4.75602846066647e-06
1.00958144092845e+00,2.26341911997851e-11,4.75754045692444e-06
1.00990239850334e+00,2.26485848278271e-11,4.75905293386344e-06
1.01022345811435e+00,2.26629876091244e-11,4.76056589163628e-06
1.01054461979391e+00,2.26773995494976e-11,4.76207933039584e-06
1.01086588357446e+00,2.26918206547713e-11,4.76359325029503e-06
1.01118724948847e+00,2.27062509307735e-11,4.76510765148679e-06
1.01150871756842e+00,2.27206903833364e-11,4.76662253412415e-06
1.01183028784676e+00,2.27351390182953e-11,4.76813789836016e-06
1.01215196035601e+00,2.27495968414897e-11,4.76965374434792e-06
1.01247373512865e+00,2.27640638587624e-11,4.77117007224058e-06
1.01279561219721e+00,2.27785400759604e-11,4.77268688219137e-06
1.01311759159419e+00,2.27930254989340e-11,4.77420417435351e-06
1.01343967335213e+00,2.28075201335374e-11,4.77572194888032e-06
1.01376185750358e+00,2.28220239856285e-11,4.77724020592514e-06
1.01408414408108e+00,2.28365370610690e-11,4.77875894564137e-06
1.01440653311719e+00,2.28510593657241e-11,4.78027816818247e-06
1.01472902464450e+00,2.28655909054630e-11,4.78179787370191e-06
1.01505161869558e+00,2.28801316861584e-11,4.78331806235326e-06
1.01537431530303e+00,2.28946817136870e-11,4.78483873429009e-06
1.01569711449945e+00,2.29092409939289e-11,4.78635988966606e-06
1.01602001631745e+00,2.29238095327683e-11,4.78788152863485e-06
1.01634302078966e+00,2.29383873360929e-11,4.78940365135021e-06
1.01666612794871e+00,2.29529744097942e-11,4.79092625796592e-06
1.01698933782726e+00,2.29675707597674e-11,4.79244934863582e-06
1.01731265045795e+00,2.29821763919116e-11,4.79397292351380e-06
1.01763606587345e+00,2.29967913121295e-11,4.79549698275379e-06
1.01795958410644e+00,2.30114155263276e-11,4.79702152650977e-06
1.01828320518960e+00,2.30260490404163e-11,4.79854655493579e-06
1.01860692915564e+00,2.30406918603094e-11,4.80007206818591e-06
1.01893075603725e+00,2.30553439919249e-11,4.80159806641428e-06
1.01925468586716e+00,2.30700054411842e-11,4.80312454977507e-06
1.01957871867810e+00,2.30846762140127e-11,4.80465151842251e-06
1.01990285450280e+00,2.30993563163394e-11,4.80617897251089e-06
1.02022709337402e+00,2.31140457540972e-11,4.80770691219452e-06
1.02055143532451e+00,2.31287445332228e-11,4.80923533762778e-06
1.02087588038705e+00,2.31434526596565e-11,4.81076424896511e-06
1.02120042859441e+00,2.31581701393425e-11,4.81229364636097e-06
1.02152507997938e+00,2.31728969782287e-11,4.81382352996989e-06
1.02184983457478e+00,2.31876331822670e-11,4.81535389994643e-06
1.02217469241340e+00,2.32023787574128e-11,4.81688475644523e-06
1.02249965352807e+00,2.32171337096254e-11,4.81841609962095e-06
1.02282471795162e+00,2.32318980448680e-11,4.81994792962832e-06
1.02314988571690e+00,2.32466717691075e-11,4.82148024662210e-06
1.02347515685676e+00,2.32614548883145e-11,4.82301305075711e-06
1.02380053140407e+00,2.32762474084634e-11,4.82454634218821e-06
1.02412600939169e+00,2.32910493355327e-11,4.82608012107034e-06
1.02445159085251e+00,2.33058606755045e-11,4.82761438755844e-06
1.02477727581944e+00,2.33206814343644e-11,4.82914914180755e-06
1.02510306432537e+00,2.33355116181024e-11,4.83068438397272e-06
1.02542895640322e+00,2.33503512327119e-11,4.83222011420906e-06
1.02575495208591e+00,2.33652002841901e-11,4.83375633267174e-06
1.02608105140639e+00,2.33800587785383e-11,4.83529303951598e-06
1.02640725439761e+00,2.33949267217614e-11,4.83683023489704e-06
1.02673356109251e+00,2.34098041198682e-11,4.83836791897022e-06
1.02705997152407e+00,2.34246909788712e-11,4.83990609189088e-06
1.02738648572527e+00,2.34395873047869e-11,4.84144475381445e-06
1.02771310372910e+00,2.34544931036354e-11,4.84298390489637e-06
1.02803982556856e+00,2.34694083814410e-11,4.84452354529216e-06
1.02836665127665e+00,2.34843331442314e-11,4.84606367515738e-06
1.02869358088640e+00,2.34992673980384e-11,4.84760429464763e-06
1.02902061443084e+00,2.35142111488975e-11,4.84914540391857e-06
1.02934775194302e+00,2.35291644028482e-11,4.85068700312591e-06
1.02967499345598e+00,2.35441271659337e-11,4.85222909242540e-06
1.03000233900279e+00,2.35590994442011e-11,4.85377167197285e-06
1.03032978861652e+00,2.35740812437013e-11,4.85531474192411e-06
1.03065734233026e+00,2.35890725704892e-11,4.85685830243510e-06
1.03098500017709e+00,2.36040734306233e-11,4.85840235366176e-06
1.03131276219013e+00,2.36190838301661e-11,4.85994689576010e-06
1.03164062840250e+00,2.36341037751840e-11,4.86149192888617e-06
1.03196859884731e+00,2.36491332717471e-11,4.86303745319608e-06
1.03229667355770e+00,2.36641723259296e-11,4.86458346884598e-06
1.03262485256683e+00,2.36792209438093e-11,4.86612997599207e-06
1.03295313590785e+00,2.36942791314681e-11,4.86767697479061e-06
1.03328152361392e+00,2.37093468949915e-11,4.86922446539789e-06
1.03361001571823e+00,2.37244242404691e-11,4.87077244797027e-06
1.03393861225396e+00,2.37395111739944e-11,4.87232092266415e-06
1.03426731325432e+00,2.37546077016645e-11,4.87386988963597e-06
1.03459611875252e+00,2.37697138295806e-11,4.87541934904225e-06
1.03492502878177e+00,2.37848295638478e-11,4.87696930103954e-06
1.03525404337532e+00,2.37999549105750e-11,4.87851974578442e-06
1.03558316256639e+00,2.38150898758748e-11,4.88007068343356e-06
