x-axis,Canal,Canal
second,1,2
-13.30000E-06,,
-13.27500E-06,-70.60278021E-03,-15.09422809E-03
-13.25000E-06,-130.90428710E-03,-15.09422809E-03
-13.22500E-06,-50.50227791E-03,-15.09422809E-03
-13.20000E-06,-130.90428710E-03,-15.09422809E-03
-13.17500E-06,-70.60278021E-03,-36.80277057E-03
-13.15000E-06,-130.90428710E-03,-15.09422809E-03
-13.12500E-06,-130.90428710E-03,-15.09422809E-03
-13.10000E-06,-50.50227791E-03,-15.09422809E-03
-13.07500E-06,-50.50227791E-03,-15.09422809E-03
-13.05000E-06,-50.50227791E-03,-15.09422809E-03
-13.02500E-06,+9.79922898E-03,-15.09422809E-03
-13.00000E-06,-130.90428710E-03,-15.09422809E-03
-12.97500E-06,-50.50227791E-03,-15.09422809E-03
-12.95000E-06,-130.90428710E-03,-15.09422809E-03
-12.92500E-06,-70.60278021E-03,-15.09422809E-03
-12.90000E-06,-50.50227791E-03,-15.09422809E-03
-12.87500E-06,-50.50227791E-03,-15.09422809E-03
-12.85000E-06,+29.89973128E-03,-15.09422809E-03
-12.82500E-06,-50.50227791E-03,+1.18717877E-03
-12.80000E-06,-50.50227791E-03,-15.09422809E-03
-12.77500E-06,-110.80378480E-03,-15.09422809E-03
-12.75000E-06,-50.50227791E-03,-15.09422809E-03
-12.72500E-06,-50.50227791E-03,-15.09422809E-03
-12.70000E-06,-130.90428710E-03,-15.09422809E-03
-12.67500E-06,-50.50227791E-03,-15.09422809E-03
-12.65000E-06,-50.50227791E-03,-15.09422809E-03
-12.62500E-06,-50.50227791E-03,-15.09422809E-03
-12.60000E-06,-50.50227791E-03,-15.09422809E-03
-12.57500E-06,-130.90428710E-03,-15.09422809E-03
-12.55000E-06,-130.90428710E-03,-15.09422809E-03
-12.52500E-06,-50.50227791E-03,-15.09422809E-03
-12.50000E-06,-50.50227791E-03,-15.09422809E-03
-12.47500E-06,+29.89973128E-03,-15.09422809E-03
-12.45000E-06,-50.50227791E-03,-15.09422809E-03
-12.42500E-06,-50.50227791E-03,-15.09422809E-03
-12.40000E-06,+29.89973128E-03,-15.09422809E-03
-12.37500E-06,-130.90428710E-03,-15.09422809E-03
-12.35000E-06,-50.50227791E-03,-15.09422809E-03
-12.32500E-06,-110.80378480E-03,-15.09422809E-03
-12.30000E-06,-50.50227791E-03,-15.09422809E-03
-12.27500E-06,-50.50227791E-03,-15.09422809E-03
-12.25000E-06,-50.50227791E-03,-15.09422809E-03
-12.22500E-06,-50.50227791E-03,-31.37563495E-03
-12.20000E-06,-50.50227791E-03,-15.09422809E-03
-12.17500E-06,-50.50227791E-03,-15.09422809E-03
-12.15000E-06,-70.60278021E-03,-15.09422809E-03
-12.12500E-06,-70.60278021E-03,-15.09422809E-03
-12.10000E-06,-50.50227791E-03,-15.09422809E-03
-12.07500E-06,-50.50227791E-03,-15.09422809E-03
-12.05000E-06,-50.50227791E-03,-15.09422809E-03
-12.02500E-06,-50.50227791E-03,-15.09422809E-03
-12.00000E-06,-70.60278021E-03,-15.09422809E-03
-11.97500E-06,-50.50227791E-03,-15.09422809E-03
-11.95000E-06,-50.50227791E-03,-15.09422809E-03
-11.92500E-06,-50.50227791E-03,-15.09422809E-03
-11.90000E-06,-50.50227791E-03,-15.09422809E-03
-11.87500E-06,-130.90428710E-03,-15.09422809E-03
-11.85000E-06,-70.60278021E-03,-15.09422809E-03
-11.82500E-06,-130.90428710E-03,-15.09422809E-03
-11.80000E-06,-50.50227791E-03,-15.09422809E-03
-11.77500E-06,-50.50227791E-03,-15.09422809E-03
-11.75000E-06,+9.79922898E-03,-15.09422809E-03
-11.72500E-06,-130.90428710E-03,-15.09422809E-03
-11.70000E-06,-50.50227791E-03,+1.18717877E-03
-11.67500E-06,-50.50227791E-03,-15.09422809E-03
-11.65000E-06,-50.50227791E-03,-15.09422809E-03
-11.62500E-06,-50.50227791E-03,-15.09422809E-03
-11.60000E-06,-110.80378480E-03,-15.09422809E-03
-11.57500E-06,-50.50227791E-03,-31.37563495E-03
-11.55000E-06,-130.90428710E-03,-15.09422809E-03
-11.52500E-06,-50.50227791E-03,-15.09422809E-03
-11.50000E-06,-50.50227791E-03,-15.09422809E-03
-11.47500E-06,-130.90428710E-03,-15.09422809E-03
-11.45000E-06,-50.50227791E-03,-15.09422809E-03
-11.42500E-06,-50.50227791E-03,-15.09422809E-03
-11.40000E-06,-50.50227791E-03,-20.52136371E-03
-11.37500E-06,-130.90428710E-03,-15.09422809E-03
-11.35000E-06,-130.90428710E-03,-15.09422809E-03
-11.32500E-06,-130.90428710E-03,-15.09422809E-03
-11.30000E-06,-110.80378480E-03,-9.66709247E-03
-11.27500E-06,-50.50227791E-03,+1.18717877E-03
-11.25000E-06,-130.90428710E-03,-15.09422809E-03
-11.22500E-06,-50.50227791E-03,-15.09422809E-03
-11.20000E-06,-130.90428710E-03,-15.09422809E-03
-11.17500E-06,-50.50227791E-03,-15.09422809E-03
-11.15000E-06,-50.50227791E-03,-15.09422809E-03
-11.12500E-06,-70.60278021E-03,-15.09422809E-03
-11.10000E-06,-50.50227791E-03,-15.09422809E-03
-11.07500E-06,-110.80378480E-03,-15.09422809E-03
-11.05000E-06,-50.50227791E-03,-36.80277057E-03
-11.02500E-06,-50.50227791E-03,-15.09422809E-03
-11.00000E-06,-50.50227791E-03,-15.09422809E-03
-10.97500E-06,+9.79922898E-03,-15.09422809E-03
-10.95000E-06,+29.89973128E-03,-15.09422809E-03
-10.92500E-06,-50.50227791E-03,-15.09422809E-03
-10.90000E-06,-110.80378480E-03,-9.66709247E-03
-10.87500E-06,-50.50227791E-03,-15.09422809E-03
-10.85000E-06,-50.50227791E-03,+1.18717877E-03
-10.82500E-06,-130.90428710E-03,-31.37563495E-03
-10.80000E-06,-50.50227791E-03,-15.09422809E-03
-10.77500E-06,-50.50227791E-03,-36.80277057E-03
-10.75000E-06,-50.50227791E-03,+6.61431439E-03
-10.72500E-06,+9.79922898E-03,-15.09422809E-03
-10.70000E-06,-30.40177561E-03,-15.09422809E-03
-10.67500E-06,-50.50227791E-03,-15.09422809E-03
-10.65000E-06,-130.90428710E-03,-15.09422809E-03
-10.62500E-06,-50.50227791E-03,-15.09422809E-03
-10.60000E-06,-50.50227791E-03,-15.09422809E-03
-10.57500E-06,-70.60278021E-03,-15.09422809E-03
-10.55000E-06,-70.60278021E-03,-15.09422809E-03
-10.52500E-06,+29.89973128E-03,-15.09422809E-03
-10.50000E-06,-130.90428710E-03,-15.09422809E-03
-10.47500E-06,-130.90428710E-03,-15.09422809E-03
-10.45000E-06,-50.50227791E-03,-15.09422809E-03
-10.42500E-06,-130.90428710E-03,-15.09422809E-03
-10.40000E-06,-50.50227791E-03,+6.61431439E-03
-10.37500E-06,-50.50227791E-03,-15.09422809E-03
-10.35000E-06,-50.50227791E-03,-9.66709247E-03
-10.32500E-06,+29.89973128E-03,-15.09422809E-03
